Created at,Author,Page,URL,Group,Type,Quote/description,Comment,Tags
2026-09-03 14:39,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,Conclusion,"Chyba nie separowałbym ostatniego akapitu jako osobnej sekcji. Może połączmy z powyższą jako ""Discussion and Conclusion""",
2026-09-03 10:47,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,profile better suited for office,preferred profile,
2026-09-03 10:49,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,parachute,"""parachute"" or ""carpetbagger""",
2026-09-03 10:49,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,neither the omnibus interaction nor nine pairwise comparisons detected,we did not detect,
2026-09-03 10:55,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,", and evaluations of party leaders (Put 2021). At the subnational level, local advantages appear in a Polish open-list council election and Polish rural mayoral elections (Czapiewski and Woźniak 2021; Górecki et al. 2022), German local executive elections (Zissel 2026), and US state-legislative contests (Hunt and Rouse 2023). These observational associationsPolish and German local election","). It has been found in various scales, including local elections (Czapiewski...",
2026-09-03 10:59,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,can isolate several signals within a common choice environment,"bardzo generycznie to brzmi
może: In this study, we use candidate conjoint experiment, a tool widely used to uncover preferences towards candidate's traits (Hainmueller ....), to study the relative importance of territorial cues. We contribute...",
2026-09-03 11:00,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,we,we explore the office-specific heterogeneities by holding the set...,
2026-09-03 11:02,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,support,"tu dodać cytowanie klasyczne o SOE: Reif & Schmitt (1980): Reif, K., & Schmitt, H. (1980). Nine Second-Order National Elections – a Conceptual Framework for the Analysis of European Election Results. European Journal of Political Research, 8(1), 3–44. https://doi.org/10.1111/j.1475-6765.1980.tb00737.x
",
2026-09-03 11:03,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,(Gendzwill and Kroszka 2025).,"Ten przypis na tym etapie trzeba wyrzucić, ze względu na anonimizację - bo zbyt wprost prowadzi do projektu",
2026-09-03 11:04,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,S,We find that,
2026-09-03 13:22,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,and ballot-information,"nie widziałem nigdzie tego pojęcia - to z któregoś z tekstów?
Może wystarczy że survey experiments show that....",
2026-09-03 13:27,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,while,"czy to ""while"" jest potrzebne?
",
2026-09-03 13:28,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,representation or service,about constituency service,
2026-09-03 13:28,agendzwill,,https://bkk.edu.pl/drafts/LOCAL_CONJOINT_v4_2026-09-01.html,Public,Annotation,compare one local category with one non-local category,use a simplified contrast: between local and non-local candidates,
