attribute,level,office,n,proportion
age,31,mp,1546,0.24839331619537275
age,31,mayor,1467,0.24713611859838275
age,31,councillor,1379,0.25090975254730713
age,43,mp,1613,0.2591580976863753
age,43,mayor,1523,0.2565700808625337
age,43,councillor,1364,0.24818049490538574
age,55,mp,1516,0.243573264781491
age,55,mayor,1518,0.2557277628032345
age,55,councillor,1351,0.24581513828238719
age,67,mp,1549,0.24887532133676094
age,67,mayor,1428,0.24056603773584906
age,67,councillor,1402,0.2550946142649199
government,anti_government,mp,2023,0.32503213367609257
government,anti_government,mayor,1932,0.32547169811320753
government,anti_government,councillor,1790,0.3256914119359534
government,neutral,mp,2080,0.3341902313624679
government,neutral,mayor,2029,0.34181266846361186
government,neutral,councillor,1836,0.33406113537117904
government,pro_government,mp,2121,0.3407776349614396
government,pro_government,mayor,1975,0.3327156334231806
government,pro_government,councillor,1870,0.34024745269286755
key_issue,environment,mp,1243,0.1997107969151671
key_issue,environment,mayor,1192,0.20080862533692723
key_issue,environment,councillor,1112,0.20232896652110627
key_issue,improve_roads,mp,1225,0.19681876606683804
key_issue,improve_roads,mayor,1183,0.19929245283018868
key_issue,improve_roads,councillor,1104,0.20087336244541484
key_issue,support_business,mp,1214,0.19505141388174807
key_issue,support_business,mayor,1194,0.2011455525606469
key_issue,support_business,councillor,1124,0.20451237263464336
key_issue,support_elderly,mp,1238,0.19890745501285348
key_issue,support_elderly,mayor,1163,0.1959231805929919
key_issue,support_elderly,councillor,1091,0.1985080058224163
key_issue,support_families,mp,1304,0.2095115681233933
key_issue,support_families,mayor,1204,0.2028301886792453
key_issue,support_families,councillor,1065,0.1937772925764192
municip,local_few_years,mp,2084,0.33483290488431877
municip,local_few_years,mayor,1947,0.32799865229110514
municip,local_few_years,councillor,1817,0.3306040756914119
municip,local_since_birth,mp,2096,0.33676092544987146
municip,local_since_birth,mayor,1991,0.335411051212938
municip,local_since_birth,councillor,1876,0.3413391557496361
municip,outside_knows_issues,mp,2044,0.32840616966580977
municip,outside_knows_issues,mayor,1998,0.3365902964959569
municip,outside_knows_issues,councillor,1803,0.32805676855895194
occupation,engineer,mp,1566,0.25160668380462725
occupation,engineer,mayor,1429,0.2407345013477089
occupation,engineer,councillor,1384,0.25181950509461426
occupation,entrepreneur,mp,1522,0.24453727506426734
occupation,entrepreneur,mayor,1567,0.26398247978436656
occupation,entrepreneur,councillor,1423,0.2589155749636099
occupation,history_teacher,mp,1531,0.24598329048843187
occupation,history_teacher,mayor,1447,0.24376684636118598
occupation,history_teacher,councillor,1302,0.2368995633187773
occupation,lawyer,mp,1605,0.2578727506426735
occupation,lawyer,mayor,1493,0.2515161725067385
occupation,lawyer,councillor,1387,0.2523653566229985
sex,female,mp,3077,0.4943766066838046
sex,female,mayor,3031,0.5106132075471698
sex,female,councillor,2703,0.49181222707423583
sex,male,mp,3147,0.5056233933161953
sex,male,mayor,2905,0.4893867924528302
sex,male,councillor,2793,0.5081877729257642
