term,term_nice,estimate,std.error,conf.low,conf.high,p.value
(Intercept),Intercept,0.5296878458734187,0.014749106575602206,0.5007641355330449,0.5586115562137924,1.8068575541479127e-222
age43,Age: 43 vs 31,-0.00436557963478267,0.010545598263105397,-0.02504600715522424,0.016314847885658908,0.6789353615369644
age55,Age: 55 vs 31,-0.03458827856712454,0.010647060692265349,-0.05546767881153487,-0.013708878322714203,0.0011772043600087976
age67,Age: 67 vs 31,-0.10250308881262782,0.010754051590129458,-0.12359230337514722,-0.0814138742501084,3.956096304570377e-21
sexfemale,Female vs male,0.009542990311597782,0.007358905707903476,-0.004888179198670201,0.023974159821865768,0.19483849121541086
occupationengineer,Engineer vs lawyer,0.013096029857005897,0.010558096792937996,-0.00760890788408569,0.03380096759809749,0.21496858578616376
occupationhistory_teacher,History teacher vs lawyer,-0.03707486913142243,0.01059274013760593,-0.057847744144596286,-0.01630199411824857,4.745142049804102e-4
occupationentrepreneur,Entrepreneur vs lawyer,-0.0015110511033776313,0.010322153539631463,-0.021753292729255545,0.018731190522500284,0.8836276852884939
governmentpro_government,Pro-government vs neutral,-0.10913692101648127,0.009973547090400487,-0.12869552855858207,-0.08957831347438047,3.593561392988883e-27
governmentanti_government,Anti-government vs neutral,-0.17191883758225845,0.009577441253140757,-0.19070066244655398,-0.15313701271796293,2.523791972565047e-67
municiplocal_few_years,Few years local vs outsider,0.13392512467987952,0.009297250874619389,0.11569276668037143,0.1521574826793876,5.161304647634079e-45
municiplocal_since_birth,Local since birth vs outsider,0.1859649504312458,0.009446275911312939,0.16744034713723846,0.20448955372525315,1.435811162921215e-79
key_issueimprove_roads,Improve roads vs support business,-0.018702182956362504,0.011716912801501594,-0.041679614858214004,0.0042752489454889984,0.11059522192210759
key_issuesupport_families,Support families vs support business,0.033995816283184925,0.012174545362964246,0.010120944825776575,0.05787068774059328,0.005277839895282098
key_issuesupport_elderly,Support older residents vs support business,-0.019062500150280114,0.01199491872828192,-0.042585115101551205,0.0044601148009909795,0.1121563570355703
key_issueenvironment,Environment vs support business,-0.03655137561659626,0.012109728016916064,-0.060299137127885524,-0.012803614105306983,0.0025708899702570473
officemayor,Mayor vs MP prompt,4.2057071396827626e-4,0.002105456006499619,-0.003708330203130746,0.004549471631067299,0.8416924779650449
officecouncillor,Councillor vs MP prompt,7.940536099711563e-4,0.0021132975620943625,-0.003350224976377031,0.004938332196319345,0.7071454850239292
