attribute,attribute_nice,level,level_nice,estimand,contrast,is_reference,estimate,std.error,conf.low,conf.high,p.value
age,Candidate age,31,31,AMCE,Reference,TRUE,0,NA,NA,NA,NA
age,Candidate age,31,31,MM,NA,TRUE,0.535125494777065,0.006572341587313359,0.522236870444459,0.5480141191096709,0
age,Candidate age,43,43,AMCE,43 - 31,FALSE,-0.004365579634782679,0.010545599131941205,-0.02504592069255875,0.01631476142299339,0.678935073994765
age,Candidate age,43,43,MM,NA,FALSE,0.5307599151422823,0.006519207968721764,0.517975487957734,0.5435443423268306,0
age,Candidate age,55,55,AMCE,55 - 31,FALSE,-0.034588278567124535,0.01064706016213261,-0.05546758875715941,-0.01370896837708966,0.0011770678499732996
age,Candidate age,55,55,MM,NA,FALSE,0.5005372162099404,0.006498772643978639,0.48779286351333984,0.513281568906541,0
age,Candidate age,67,67,AMCE,67 - 31,FALSE,-0.1025030888126278,0.010754051744139556,-0.12359221376790565,-0.08141396385734996,3.928369732674368e-21
age,Candidate age,67,67,MM,NA,FALSE,0.43262240596443713,0.006696880813337794,0.4194895552358689,0.44575525669300536,0
sex,Candidate sex,male,Male,AMCE,Reference,TRUE,0,NA,NA,NA,NA
sex,Candidate sex,male,Male,MM,NA,TRUE,0.5047623067306007,0.0037855495567322545,0.49733869286619575,0.5121859205950058,0
sex,Candidate sex,female,Female,AMCE,female - male,FALSE,-0.009542990311597773,0.007358907094943988,-0.023974101017767393,0.004888120394571847,0.19483752219904804
sex,Candidate sex,female,Female,MM,NA,FALSE,0.495219316419003,0.003774837431706199,0.4878167094595847,0.5026219233784214,0
occupation,Occupation,lawyer,Lawyer,AMCE,Reference,TRUE,0,NA,NA,NA,NA
occupation,Occupation,lawyer,Lawyer,MM,NA,TRUE,0.5061254410804881,0.006343107370454839,0.4936863542020783,0.5185645279588978,0
occupation,Occupation,engineer,Engineer,AMCE,engineer - lawyer,FALSE,0.013096029857005875,0.010558099533814338,-0.0076088249880724886,0.03380088470208424,0.21496768052399953
occupation,Occupation,engineer,Engineer,MM,NA,FALSE,0.5192214709374939,0.006667550053286348,0.5061461390007704,0.5322968028742174,0
occupation,Occupation,history_teacher,History teacher,AMCE,history_teacher - lawyer,FALSE,-0.03707486913142244,0.010592740628883771,-0.05784765654739484,-0.016302081715450036,4.744423609499796e-4
occupation,Occupation,history_teacher,History teacher,MM,NA,FALSE,0.46905057194906563,0.006693029358426493,0.4559252740773942,0.48217586982073707,0
occupation,Occupation,entrepreneur,Entrepreneur,AMCE,entrepreneur - lawyer,FALSE,-0.0015110511033776632,0.010322154392036037,-0.021753208102477654,0.018731105895722328,0.8836275909597379
occupation,Occupation,entrepreneur,Entrepreneur,MM,NA,FALSE,0.5046143899771104,0.006389238224951209,0.49208483865070335,0.5171439413035174,0
government,Government-opposition cue,neutral,Neutral,AMCE,Reference,TRUE,0,NA,NA,NA,NA
government,Government-opposition cue,neutral,Neutral,MM,NA,TRUE,0.592817432753421,0.005446988717130002,0.5821356703425099,0.6034991951643321,0
government,Government-opposition cue,pro_government,Pro-government,AMCE,pro_government - neutral,FALSE,-0.10913692101648124,0.009973546950402118,-0.12869544490018694,-0.08957839713277554,3.550852676811569e-27
government,Government-opposition cue,pro_government,Pro-government,MM,NA,FALSE,0.48368051173693966,0.006198074550544716,0.47152584001055553,0.4958351834633238,0
government,Government-opposition cue,anti_government,Anti-government,AMCE,anti_government - neutral,FALSE,-0.17191883758225843,0.009577441136635433,-0.190700582145873,-0.15313709301864387,2.337791257544674e-67
government,Government-opposition cue,anti_government,Anti-government,MM,NA,FALSE,0.4208985951711625,0.006104670710971271,0.408927092104455,0.43287009823787004,0
municip,Municipal roots,outside_knows_issues,Lives elsewhere; knows local issues,AMCE,Reference,TRUE,0,NA,NA,NA,NA
municip,Municipal roots,outside_knows_issues,Lives elsewhere; knows local issues,MM,NA,TRUE,0.3928351195882727,0.005564811331107979,0.38192230232586405,0.4037479368506814,0
municip,Municipal roots,local_few_years,Lives locally for a few years,AMCE,local_few_years - outside_knows_issues,FALSE,0.13392512467987958,0.00929725089704117,0.11569284436607882,0.15215740499368033,4.9891908811239483e-45
municip,Municipal roots,local_few_years,Lives locally for a few years,MM,NA,FALSE,0.5267602442681524,0.005332666795859483,0.5163026717105321,0.5372178168257726,0
municip,Municipal roots,local_since_birth,Lives locally since birth,AMCE,local_since_birth - outside_knows_issues,FALSE,0.18596495043124592,0.009446275802667261,0.16744042632589842,0.2044894745365934,1.2902673886785005e-79
municip,Municipal roots,local_since_birth,Lives locally since birth,MM,NA,FALSE,0.5788000700195186,0.005365612396235717,0.5682778898238108,0.5893222502152264,0
key_issue,Policy priority,support_business,Support business,AMCE,Reference,TRUE,0,NA,NA,NA,NA
key_issue,Policy priority,support_business,Support business,MM,NA,TRUE,0.5079536132079616,0.007615793011724154,0.49301873895972237,0.5228884874562009,0
key_issue,Policy priority,improve_roads,Improve roads,AMCE,improve_roads - support_business,FALSE,-0.0187021829563625,0.011716912340355542,-0.04167951599462432,0.004275150081899319,0.11059409560865983
key_issue,Policy priority,improve_roads,Improve roads,MM,NA,FALSE,0.489251430251599,0.007606312371002037,0.47433514791844456,0.5041677125847535,0
key_issue,Policy priority,support_families,Support families,AMCE,support_families - support_business,FALSE,0.03399581628318493,0.012174544767793925,0.0101210477782308,0.057870584788139064,0.00527748658856294
key_issue,Policy priority,support_families,Support families,MM,NA,FALSE,0.5419494294911464,0.007655489321273463,0.5269367091945277,0.5569621497877651,0
key_issue,Policy priority,support_elderly,Support older residents,AMCE,support_elderly - support_business,FALSE,-0.019062500150280104,0.01199491774295847,-0.042585012885759804,0.0044600125851996,0.1121552147896476
key_issue,Policy priority,support_elderly,Support older residents,MM,NA,FALSE,0.4888911130576814,0.0076293215347691965,0.4739297088354616,0.5038525172799012,0
