outcome,weight,attribute,contrast,estimate,std.error,conf.low,conf.high,p.value
advantage,unweighted,government,anti_government - neutral,-2.278965419895608,0.13205174026536928,-2.5379241563119432,-2.0200066834792727,1.0573741836372494e-62
advantage,unweighted,government,pro_government - neutral,-1.430728488154658,0.13658782835264366,-1.6985826744680805,-1.1628743018412355,4.328532367927821e-25
advantage,unweighted,municip,local_few_years - outside_knows_issues,1.786003078895181,0.12440800104718355,1.5420340203540448,2.0299721374363173,9.505678413007734e-45
advantage,unweighted,municip,local_since_birth - outside_knows_issues,2.479949110637449,0.12710505006001024,2.230691031269999,2.729207190004899,2.436354762565689e-78
competence,unweighted,government,anti_government - neutral,-0.17191883758225843,0.009577441136635433,-0.190700582145873,-0.15313709301864387,2.337791257544674e-67
competence,unweighted,government,pro_government - neutral,-0.10913692101648124,0.009973546950402118,-0.12869544490018694,-0.08957839713277554,3.550852676811569e-27
competence,unweighted,municip,local_few_years - outside_knows_issues,0.13392512467987958,0.00929725089704117,0.11569284436607882,0.15215740499368033,4.9891908811239483e-45
competence,unweighted,municip,local_since_birth - outside_knows_issues,0.18596495043124592,0.009446275802667261,0.16744042632589842,0.2044894745365934,1.2902673886785005e-79
competence,census_margins,government,anti_government - neutral,-0.1734263928067657,0.009764430178863488,-0.19257483034997877,-0.15427795526355262,4.526625786054556e-66
competence,census_margins,government,pro_government - neutral,-0.11434768426957233,0.010199822728910712,-0.13434994399171873,-0.09434542454742592,2.083195007707838e-28
competence,census_margins,municip,local_few_years - outside_knows_issues,0.12713354517783593,0.009547582866142369,0.10841035387510928,0.14585673648056258,5.7362181775379846e-39
competence,census_margins,municip,local_since_birth - outside_knows_issues,0.18414831946599516,0.0096961909803702,0.16513370171629918,0.20316293721569115,1.297622175915772e-74
competence,census_vote_2023,government,anti_government - neutral,-0.1493467637884098,0.010594522130307552,-0.17012304479982213,-0.12857048277699748,2.839358853508155e-43
competence,census_vote_2023,government,pro_government - neutral,-0.1431893810962222,0.011259015178790698,-0.165268759513597,-0.12111000267884739,8.249149246465984e-36
competence,census_vote_2023,municip,local_few_years - outside_knows_issues,0.11843917941802669,0.010306674537944772,0.09822737903101926,0.13865097980503413,1.0025426214718351e-29
competence,census_vote_2023,municip,local_since_birth - outside_knows_issues,0.1783229084539759,0.010382604888869563,0.1579622056163713,0.19868361129158046,3.7403372579202927e-62
